inv_elyptical_density;length_ratio;NRes
17.3050749417;1.33859131059;212.0
16.5956782194;1.20504134642;180.0
18.9425459281;1.44783917601;122.0
15.9354932599;1.19434131736;124.0
21.9456225527;2.00316923632;199.0
16.3836237621;1.16067331842;98.0
15.8138033354;1.64156072878;110.0
18.3160133235;1.94191332202;69.0
14.3909916998;2.22546494977;118.0
17.7014381078;1.77819978333;190.0
18.311052091;1.60495145812;116.0
22.1372088599;2.38902325216;245.0
17.6383793009;1.54730971923;118.0
13.2827989582;1.34240494984;64.0
15.559489424;1.43029685242;116.0
12.2492728709;3.46924780974;28.0
18.9684230102;1.6861313647;135.0
15.2684784988;1.53499234728;433.0
17.6644551597;1.85377914009;68.0
18.3170022876;1.26616280902;178.0
16.9735119744;2.09560122009;93.0
14.8153775792;1.77068462594;126.0
18.0893745032;2.22195574111;224.0
17.6284727354;1.72915402504;291.0
16.977027292;1.58886067666;64.0
13.6965471935;1.60793450211;37.0
18.2424005508;2.55673236432;195.0
15.885262226;1.96166355367;140.0
15.9417661561;1.75812464245;150.0
17.0903233663;1.83878853027;274.0
15.0570812325;1.19879504402;128.0
16.2229353824;1.55320038043;96.0
16.6463159715;2.39589825862;147.0
17.7011504668;1.77362976314;231.0
18.1451376596;1.42113355259;286.0
19.3006034762;2.1312448338;237.0
18.5069195467;1.72185016105;217.0
17.8322097558;2.17404652822;88.0
14.9868664688;1.4117602172;144.0
23.827825808;3.26448536667;55.0
18.0413149346;1.84399134769;140.0
15.818669503;1.44321777658;223.0
14.6113434045;1.67690837888;88.0
18.1926929804;1.5341496358;74.0
15.9561985951;1.54090348246;63.0
15.1431549882;1.82272574526;264.0
15.9790086331;1.45916741369;127.0
15.7929782677;1.46868475075;361.0
17.7218887782;1.71997814706;208.0
22.9607224688;1.72022813385;447.0
16.4466175531;1.47391015538;293.0
16.1471934756;1.58728727094;223.0
16.3630614179;1.72262315841;252.0
13.8488867983;1.49358122939;88.0
15.3013816994;1.36630032638;153.0
16.7663231006;1.47069591388;111.0
21.512496474;4.10591741566;119.0
17.3189357789;1.45989506313;140.0
14.7123451595;1.38211677593;125.0
15.4929220036;1.63690327317;67.0
16.0160604633;2.03908491923;106.0
15.2442863423;1.38691937103;92.0
18.6683311599;1.6978846185;159.0
16.6681797161;1.27178123293;134.0
22.7911683122;1.67409199308;104.0
13.3121455721;2.03937121114;35.0
16.91816081;1.85097265639;69.0
15.667701564;2.03162834747;383.0
16.9052915306;1.40027080512;74.0
27.433977562;3.77722532711;144.0
13.1792946627;1.46222185422;91.0
18.1216417928;1.40984747874;111.0
16.3403877595;2.2449582079;138.0
15.9003555745;1.73382578174;149.0
18.9560222621;1.90650645179;53.0
14.029557131;1.48136162522;222.0
15.884655209;1.30414068824;102.0
17.2225291733;1.78243953574;331.0
17.1943661894;1.62920073421;155.0
15.451968262;1.14434144065;129.0
15.8587856392;1.60116078545;235.0
16.834614316;2.12719903936;71.0
23.0983831419;3.46450152893;76.0
16.8818963123;1.68888654046;88.0
16.2084970286;2.44122357895;121.0
15.9089832864;1.82304162526;126.0
19.1730687506;1.71174511791;139.0
18.1486253755;1.6523633229;188.0
